0 length 2684;
0 note 69 100;
59 note 69 0;
89 note 0 0;
89 note 57 100;
149 note 57 0;
179 note 0 0;
179 note 45 100;
239 note 45 0;
269 note 0 0;
269 note 81 100;
329 note 81 0;
359 note 0 0;
359 note 69 100;
419 note 69 0;
449 note 0 0;
449 note 57 100;
509 note 57 0;
539 note 0 0;
539 note 45 100;
599 note 45 0;
629 note 0 0;
629 note 81 100;
689 note 81 0;
719 note 0 0;
719 note 71 100;
779 note 71 0;
809 note 0 0;
809 note 59 100;
869 note 59 0;
899 note 0 0;
899 note 47 100;
959 note 47 0;
989 note 0 0;
989 note 83 100;
1049 note 83 0;
1079 note 0 0;
1079 note 71 100;
1139 note 71 0;
1169 note 0 0;
1169 note 59 100;
1229 note 59 0;
1259 note 0 0;
1259 note 47 100;
1319 note 47 0;
1349 note 0 0;
1349 note 83 100;
1409 note 83 0;
1439 note 0 0;
1439 note 36 100;
1499 note 36 0;
1529 note 0 0;
1529 note 48 100;
1589 note 48 0;
1619 note 0 0;
1619 note 72 100;
1679 note 72 0;
1709 note 0 0;
1709 note 48 100;
1769 note 48 0;
1799 note 0 0;
1799 note 60 100;
1859 note 60 0;
1889 note 0 0;
1889 note 36 100;
1949 note 36 0;
1979 note 0 0;
1979 note 60 100;
2039 note 60 0;
2069 note 0 0;
2069 note 78 100;
2069 note 0 0;
2069 note 72 100;
2069 note 0 0;
2069 note 81 100;
2129 note 78 0;
2129 note 72 0;
2129 note 81 0;
2159 note 0 0;
2159 note 66 100;
2159 note 0 0;
2159 note 48 100;
2159 note 0 0;
2159 note 45 100;
2219 note 66 0;
2219 note 48 0;
2219 note 45 0;
2249 note 0 0;
2249 note 54 100;
2249 note 0 0;
2249 note 72 100;
2249 note 0 0;
2249 note 57 100;
2309 note 54 0;
2309 note 72 0;
2309 note 57 0;
2339 note 0 0;
2339 note 42 100;
2339 note 0 0;
2339 note 36 100;
2339 note 0 0;
2339 note 45 100;
2399 note 42 0;
2399 note 36 0;
2399 note 45 0;
2429 note 0 0;
2429 note 78 100;
2429 note 0 0;
2429 note 60 100;
2429 note 0 0;
2429 note 57 100;
2489 note 78 0;
2489 note 60 0;
2489 note 57 0;
