0 length 2503;
0 note 60 100;
46 note 62 100;
57 note 60 0;
77 note 64 100;
82 note 62 0;
102 note 65 100;
103 note 64 0;
123 note 67 100;
134 note 65 0;
148 note 69 100;
153 note 67 0;
169 note 71 100;
179 note 69 0;
199 note 72 100;
208 note 71 0;
219 note 74 100;
230 note 72 0;
238 note 68 0;
247 note 76 100;
252 note 74 0;
270 note 77 100;
285 note 76 0;
297 note 79 100;
312 note 77 0;
332 note 81 100;
349 note 79 0;
378 note 83 100;
383 note 82 100;
385 note 82 0;
396 note 81 0;
448 note 83 0;
665 note 60 100;
712 note 62 100;
723 note 60 0;
743 note 64 100;
748 note 62 0;
768 note 65 100;
769 note 64 0;
789 note 67 100;
800 note 65 0;
814 note 69 100;
819 note 67 0;
835 note 71 100;
845 note 69 0;
865 note 72 100;
874 note 71 0;
885 note 74 100;
896 note 72 0;
913 note 76 100;
918 note 74 0;
936 note 77 100;
951 note 76 0;
963 note 79 100;
978 note 77 0;
998 note 81 100;
1015 note 79 0;
1044 note 83 100;
1049 note 82 100;
1051 note 82 0;
1062 note 81 0;
1114 note 83 0;
1331 note 60 100;
1378 note 62 100;
1389 note 60 0;
1409 note 64 100;
1414 note 62 0;
1434 note 65 100;
1435 note 64 0;
1455 note 67 100;
1466 note 65 0;
1480 note 69 100;
1485 note 67 0;
1501 note 71 100;
1511 note 69 0;
1531 note 72 100;
1540 note 71 0;
1551 note 74 100;
1562 note 72 0;
1579 note 76 100;
1584 note 74 0;
1602 note 77 100;
1617 note 76 0;
1629 note 79 100;
1644 note 77 0;
1664 note 81 100;
1681 note 79 0;
1710 note 83 100;
1715 note 82 100;
1717 note 82 0;
1728 note 81 0;
1780 note 83 0;
1997 note 60 100;
2044 note 62 100;
2055 note 60 0;
2075 note 64 100;
2080 note 62 0;
2100 note 65 100;
2101 note 64 0;
2121 note 67 100;
2132 note 65 0;
2146 note 69 100;
2151 note 67 0;
2167 note 71 100;
2177 note 69 0;
2197 note 72 100;
2206 note 71 0;
2217 note 74 100;
2228 note 72 0;
2245 note 76 100;
2250 note 74 0;
2268 note 77 100;
2283 note 76 0;
2295 note 79 100;
2310 note 77 0;
2330 note 81 100;
2347 note 79 0;
2376 note 83 100;
2381 note 82 100;
2383 note 82 0;
2394 note 81 0;
2446 note 83 0;
