0 length 1708;
0 note 60 100;
113 note 62 100;
118 note 60 0;
179 note 62 0;
515 note 77 100;
605 note 77 0;
635 note 60 100;
705 note 60 0;
889 note 72 100;
919 note 71 100;
999 note 72 0;
1000 note 71 0;
1151 note 64 100;
1162 note 62 100;
1219 note 64 0;
1250 note 65 100;
1252 note 62 0;
1271 note 65 0;
1276 note 67 100;
1294 note 69 100;
1298 note 67 0;
1316 note 71 100;
1317 note 69 0;
1339 note 72 100;
1345 note 71 0;
1361 note 74 100;
1363 note 72 0;
1384 note 76 100;
1390 note 74 0;
1410 note 77 100;
1414 note 76 0;
1434 note 79 100;
1445 note 77 0;
1464 note 81 100;
1465 note 79 0;
1491 note 83 100;
1492 note 81 0;
1522 note 83 0;
