0 length 1827;
0 note 65 100;
6 note 62 100;
60 note 68 0;
81 note 65 0;
100 note 62 0;
193 note 64 100;
200 note 67 100;
287 note 64 0;
292 note 67 0;
381 note 69 100;
382 note 65 100;
464 note 65 0;
471 note 69 0;
595 note 71 100;
600 note 67 100;
624 note 69 100;
678 note 69 0;
696 note 67 0;
712 note 62 100;
712 note 71 0;
754 note 62 0;
786 note 69 100;
831 note 69 0;
834 note 72 100;
837 note 62 100;
842 note 69 100;
879 note 62 0;
915 note 69 100;
917 note 69 0;
947 note 72 0;
948 note 69 0;
953 note 62 100;
995 note 62 0;
1026 note 69 100;
1049 note 62 100;
1055 note 65 100;
1062 note 62 100;
1065 note 69 0;
1086 note 62 0;
1119 note 69 100;
1137 note 65 0;
1154 note 62 100;
1156 note 62 0;
1165 note 69 0;
1193 note 62 0;
1224 note 69 100;
1237 note 62 100;
1249 note 64 100;
1256 note 67 100;
1288 note 69 0;
1295 note 62 0;
1340 note 71 100;
1343 note 64 0;
1348 note 67 0;
1395 note 71 0;
1408 note 72 100;
1433 note 72 0;
1437 note 69 100;
1438 note 65 100;
1444 note 74 100;
1474 note 74 0;
1481 note 76 100;
1520 note 65 0;
1525 note 77 100;
1526 note 76 0;
1527 note 69 0;
1569 note 79 100;
1575 note 77 0;
1603 note 81 100;
1624 note 79 0;
1651 note 71 100;
1656 note 67 100;
1688 note 83 100;
1752 note 67 0;
1768 note 71 0;
1779 note 81 0;
1817 note 83 0;
