0 length 1001;
0 note 60 100;
58 note 64 100;
135 note 65 100;
139 note 64 0;
175 note 67 100;
180 note 60 0;
181 note 65 0;
204 note 69 100;
213 note 67 0;
331 note 60 100;
428 note 64 100;
436 note 69 0;
493 note 63 100;
548 note 69 100;
552 note 70 100;
555 note 67 100;
572 note 64 0;
586 note 63 0;
587 note 60 0;
626 note 67 0;
636 note 69 0;
641 note 70 0;
706 note 67 100;
711 note 70 100;
715 note 76 100;
718 note 70 0;
724 note 70 100;
745 note 70 0;
769 note 67 0;
776 note 76 0;
898 note 72 100;
902 note 81 100;
971 note 72 0;
992 note 81 0;
