0 length 6699;
0 note 60 100;
208 note 60 0;
282 note 60 100;
342 note 60 0;
382 note 60 100;
396 note 72 100;
425 note 60 0;
589 note 72 0;
685 note 72 100;
790 note 74 100;
807 note 72 0;
929 note 74 0;
1064 note 74 100;
1170 note 76 100;
1215 note 74 0;
1319 note 76 0;
1427 note 76 100;
1510 note 76 0;
1574 note 77 100;
1753 note 77 0;
1835 note 77 100;
1927 note 77 0;
1979 note 79 100;
2154 note 79 0;
2232 note 79 100;
2358 note 77 100;
2380 note 79 0;
2541 note 77 0;
2634 note 77 100;
2759 note 77 0;
2767 note 74 100;
2906 note 74 0;
2994 note 72 100;
3068 note 72 0;
3686 note 71 100;
3763 note 71 0;
3800 note 64 100;
3874 note 64 0;
3907 note 69 100;
3959 note 69 0;
3985 note 64 100;
4067 note 64 0;
4085 note 67 100;
4168 note 67 0;
4457 note 74 100;
4473 note 71 100;
4486 note 81 100;
4511 note 77 100;
4611 note 74 0;
4636 note 81 0;
4639 note 71 0;
4644 note 77 0;
4747 note 76 100;
4749 note 72 100;
4757 note 83 100;
4763 note 79 100;
4931 note 76 0;
4943 note 79 0;
4958 note 72 0;
4967 note 83 0;
5083 note 74 100;
5086 note 77 100;
5098 note 71 100;
5103 note 81 100;
5209 note 74 0;
5217 note 81 0;
5227 note 77 0;
5228 note 71 0;
5352 note 74 100;
5357 note 77 100;
5371 note 71 100;
5379 note 67 100;
5486 note 77 0;
5514 note 74 0;
5519 note 71 0;
5546 note 67 0;
5650 note 69 100;
5655 note 76 100;
5665 note 72 100;
5674 note 65 100;
5814 note 76 0;
5826 note 72 0;
5847 note 69 0;
5854 note 65 0;
5966 note 60 100;
6120 note 64 100;
6137 note 67 100;
6142 note 60 0;
6149 note 71 100;
6188 note 74 100;
6530 note 74 0;
6553 note 71 0;
6569 note 64 0;
6571 note 67 0;
